Iteración,Entradas_X1,Entradas_X2,Pesos iniciales_W1,Pesos iniciales_W2,Yr,Yd,Error,Pesos finales_W1,Pesos finales_W2
1,0,0,0.3483,0.6296,0,0,0,0.3483,0.6296
1,0,1,0.3483,0.6296,1,0,-1,0.3483,0.1296
1,1,0,0.3483,0.1296,0,0,0,0.3483,0.1296
1,1,1,0.3483,0.1296,0,1,1,0.8483,0.6296
2,0,0,0.8483,0.6296,0,0,0,0.8483,0.6296
2,0,1,0.8483,0.6296,1,0,-1,0.8483,0.1296
2,1,0,0.8483,0.1296,0,0,0,0.8483,0.1296
2,1,1,0.8483,0.1296,0,1,1,1.3483,0.6296
3,0,0,1.3483,0.6296,0,0,0,1.3483,0.6296
3,0,1,1.3483,0.6296,1,0,-1,1.3483,0.1296
3,1,0,1.3483,0.1296,1,0,-1,0.8483,0.1296
3,1,1,0.8483,0.1296,0,1,1,1.3483,0.6296
4,0,0,1.3483,0.6296,0,0,0,1.3483,0.6296
4,0,1,1.3483,0.6296,0,0,0,1.3483,0.6296
4,1,0,1.3483,0.6296,1,0,-1,0.8483,0.6296
4,1,1,0.8483,0.6296,0,1,1,1.3483,1.1296
5,0,0,1.3483,1.1296,0,0,0,1.3483,1.1296
5,0,1,1.3483,1.1296,1,0,-1,1.3483,0.6296
5,1,0,1.3483,0.6296,0,0,0,1.3483,0.6296
5,1,1,1.3483,0.6296,1,1,0,1.3483,0.6296
6,0,0,1.3483,0.6296,0,0,0,1.3483,0.6296
6,0,1,1.3483,0.6296,0,0,0,1.3483,0.6296
6,1,0,1.3483,0.6296,0,0,0,1.3483,0.6296
6,1,1,1.3483,0.6296,1,1,0,1.3483,0.6296
Iteración,Entradas_X1,Entradas_X2,Pesos_iniciales_W1,Pesos_iniciales_W2,Yr,Yd,Error,Pesos_finales_W1,Pesos_finales_W2
1,0,0,0.7532,0.1451,0,0,0,0.7532,0.1451
1,0,1,0.7532,0.1451,0,1,1,0.7532,0.2451
1,1,0,0.7532,0.2451,0,1,1,0.8532,0.2451
1,1,1,0.8532,0.2451,1,1,0,0.8532,0.2451
2,0,0,0.8532,0.2451,0,0,0,0.8532,0.2451
2,0,1,0.8532,0.2451,0,1,1,0.8532,0.3451
2,1,0,0.8532,0.3451,1,1,0,0.8532,0.3451
2,1,1,0.8532,0.3451,1,1,0,0.8532,0.3451
3,0,0,0.8532,0.3451,0,0,0,0.8532,0.3451
3,0,1,0.8532,0.3451,0,1,1,0.8532,0.4451
3,1,0,0.8532,0.4451,1,1,0,0.8532,0.4451
3,1,1,0.8532,0.4451,1,1,0,0.8532,0.4451
4,0,0,0.8532,0.4451,0,0,0,0.8532,0.4451
4,0,1,0.8532,0.4451,0,1,1,0.8532,0.5451
4,1,0,0.8532,0.5451,1,1,0,0.8532,0.5451
4,1,1,0.8532,0.5451,1,1,0,0.8532,0.5451
5,0,0,0.8532,0.5451,0,0,0,0.8532,0.5451
5,0,1,0.8532,0.5451,1,1,0,0.8532,0.5451
5,1,0,0.8532,0.5451,1,1,0,0.8532,0.5451
5,1,1,0.8532,0.5451,1,1,0,0.8532,0.5451
Iteración,Entradas_X1,Entradas_X2,Pesos iniciales_W1,Pesos iniciales_W2,Yr,Yd,Error,Pesos finales_W1,Pesos finales_W2
1,0,0,0.7987,0.1107,0,0,0,0.7987,0.1107
1,0,1,0.7987,0.1107,0,1,1,0.7987,1.0107
1,1,0,0.7987,1.0107,1,1,0,0.7987,1.0107
1,1,1,0.7987,1.0107,1,0,-1,-0.1013,0.1107
2,0,0,-0.1013,0.1107,0,0,0,-0.1013,0.1107
2,0,1,-0.1013,0.1107,0,1,1,-0.1013,1.0107
2,1,0,-0.1013,1.0107,0,1,1,0.7987,1.0107
2,1,1,0.7987,1.0107,1,0,-1,-0.1013,0.1107
3,0,0,-0.1013,0.1107,0,0,0,-0.1013,0.1107
3,0,1,-0.1013,0.1107,0,1,1,-0.1013,1.0107
3,1,0,-0.1013,1.0107,1,1,0,-0.1013,1.0107
3,1,1,-0.1013,1.0107,1,0,-1,-1.0013,0.1107
4,0,0,-1.0013,0.1107,0,0,0,-1.0013,0.1107
4,0,1,-1.0013,0.1107,0,1,1,-1.0013,1.0107
